BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	24
Frequency:    	100 Hz
Frames:       	637
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	    r gr.X	    r gr.Y	    r gr.Z	    l gr.X	    l gr.Y	    l gr.Z	
    20	0.200	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.006978	  0.578576	  0.417253	 -2.025312	  0.393683	  0.308797	 -2.036431	  0.334270	  0.314464	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.009655	  0.759047	  0.313398	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -1.999471	  0.386292	  0.021066	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092766	  0.020649	  0.028074	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    21	0.210	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.007590	  0.578462	  0.417500	 -2.025625	  0.393516	  0.308945	 -2.036656	  0.334115	  0.314627	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.010398	  0.758867	  0.313786	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.000244	  0.386313	  0.021298	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.092928	  0.020439	  0.028125	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    22	0.220	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.008359	  0.578373	  0.417792	 -2.025771	  0.393304	  0.309056	 -2.036931	  0.334003	  0.314840	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.011007	  0.758749	  0.314100	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.001143	  0.386258	  0.021594	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.093073	  0.020225	  0.028114	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    23	0.230	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.009159	  0.578306	  0.418136	 -2.025923	  0.393147	  0.309221	 -2.037200	  0.333936	  0.315016	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.011633	  0.758729	  0.314425	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.002076	  0.386238	  0.021949	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.093244	  0.020025	  0.028163	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    24	0.240	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.009870	  0.578231	  0.418457	 -2.026031	  0.392967	  0.309365	 -2.037503	  0.333939	  0.315264	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.012272	  0.758749	  0.314751	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.003031	  0.386219	  0.022280	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.093366	  0.019851	  0.028241	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    25	0.250	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.010513	  0.578197	  0.418773	 -2.026204	  0.392824	  0.309547	 -2.037885	  0.333935	  0.315541	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.012932	  0.758785	  0.315079	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.003998	  0.386121	  0.022621	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.093495	  0.019697	  0.028332	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    26	0.260	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.011198	  0.578243	  0.419182	 -2.026552	  0.392786	  0.309787	 -2.038284	  0.333871	  0.315820	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.013649	  0.758842	  0.315488	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.005025	  0.386095	  0.022982	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.093610	  0.019518	  0.028407	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    27	0.270	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.011844	  0.578311	  0.419607	 -2.027095	  0.392833	  0.310047	 -2.038754	  0.333832	  0.316083	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.014318	  0.758853	  0.315871	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.006118	  0.386218	  0.023332	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.093685	  0.019381	  0.028480	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    28	0.280	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.012314	  0.578280	  0.419915	 -2.027792	  0.392963	  0.310348	 -2.039243	  0.333819	  0.316355	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.014987	  0.758832	  0.316262	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.007093	  0.386404	  0.023608	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.093878	  0.019222	  0.028530	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    29	0.290	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.012949	  0.578285	  0.420365	 -2.028525	  0.393085	  0.310673	 -2.039673	  0.333813	  0.316629	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.015644	  0.758786	  0.316624	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.007870	  0.386617	  0.023864	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	 -2.094064	  0.019038	  0.028575	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
